Ethereum Address,Token Balance
0x9E28568c0c4B47F0FEfcd999432e539bfFACCeC1,17952581476660400000000
0xb1a523AFa50275A83f735Ccc4B362Cb1414B89B2,16304108875755400000000
0x3eABF7B79AbaDF1e4dcb90160bE4A29f6DBa838F,6262354997791680000000
0xB6242fC253aAE771420AFc0509D11F507a6943FA,5125924960826010000000
0x4510b18062ca49dc44F1B086350E16B731E4F0e2,4627433429005490000000
0xC0Ba7d972e13E48c520F072f6F38dEe3d723a6Af,4587231209408450000000
0x26ff174fE192a53F3F9006cAA41f4B8096d769Ab,4291038714363650000000
0x1d10770545c687B71Fc8F7bab840123E427a3B73,3924433828900120000000
0x7B47bf67667C35DF4306b87Ae16A1eB467FD004D,3908900463116230000000
0x8E7C6faaCD4C30b0ea7E1982FDc9d003E3df3336,3892579539177670000000
0xAE151Eeb1E090673F0Bf077254c5C3FE9911E167,3556303172623720000000
0x2d0E0aB936b4e6Ba33698CF7AD0a433EA21af9f8,3522472619548130000000
0x71Cc9B9054D66b4047f2cff889FcF0E701a6144D,3247157696809430000000
0xd4131b5ad704726d9E4e5c6225485C31E73bB96f,3149033029612500000000
0x153e5893d24Be28Ac3b37875732aFaE3308614fE,3128301273105490000000
0xE6Be6B6961DC5BaB2f0B05eE9f1B6153bc559b6E,3121220469281010000000
0x6532c860Aa5E0A6055c8eA32c10f17fECe8d81f0,3044782340168840000000
0xBB89BA3e72cAFB09037CBa70C61Fef8F0eeBf854,3014502887849510000000
0xeB3a7f44F678089fC739847Aea533528e5771B09,2834779732607550000000
0x5ee6Bd1140c4546694e7C34fbfd12D630458e593,2746676376470030000000
0xa080c3AcC7539a0d0eA1F54bAe46384e6aD793b5,2593175177628690000000
0x08A91818CC886e5119D39e1eC3bbfb6720b4b3E8,2497447331162850000000
0x2a61da307c3275ef88849c2A376c313FA6140254,2495974747703350000000
0x4245577e08Bb7929D89D404904e6307C777b2363,2487812200144330000000
0x77BF08D743C0ff1aA8218aC28583B900Bf2C557C,2259019704153340000000
0x9f0e2E91D32A128DC5eb3EC1f487760f4431b6Ee,2254167718205540000000
0x1FAB34460301e1D2055a4Aba818dCD623e5537a7,2232648970321420000000
0x252A3571DD16932dF2CB8623B125Ef613Da33836,2209450986261850000000
0x91B67a80b1924120983B5e7954f7632f47772A4e,2162643647713030000000
0x3289B67c236e39CBF06e916F12793d3dafeC587d,2059840254066060000000
0x4cCd66207B5666a9e734d2Dc7deEad7E42Fec2CC,2000002444004120000000
0x075579B293AF9b7cc2E97923f411aCC5156DF277,1995711483683760000000
0xd044DAbb850d8eE97a80532a84bDac122C7C9cba,1937819122411560000000
0x6012bE16B9Eb70cc5323D92B7FaFC61A4181fd85,1824278409118210000000
0x052809FB85b124b4eaaE65E84a4B3624be45383f,1809907174797240000000
0x776B65f16d4E148F38A4B14AFdb5F479213bc726,1693569346370480000000
0xC595811892933abC87eb9f5B2f1fD3aD484C95e8,1644000000000000000000
0xF9A15770Ff6573f525F105f13909A7FCfb9c2e44,1634604214703600000000
0x1f2F5029E13889a9B53350b06Fd9DFB402d2d15b,1590854959909570000000
0xceD35F04C993C03e4ed63dC1685B0745e0C4d41C,1574886282459350000000
0x37C6D588A616e766B26C2b8B93aFaE3EbCa252bC,1413705024758290000000
0xc73bf99A778cEdB01DF15e0a8E7AF25Ba38A784F,1402531728421180000000
0xBAE304B1a1b5ed66b0C61291Ae012e171DBA067E,1392346073047760000000
0x29233432ECf27580cC064CC7432D4aD725968ee2,1383388207867670000000
0x71d222123132D5abcd32A036B12956e7ffC1D802,1377760351592540000000
0x425aF6c5eeF396D9de0217610cC5FEFc179825dD,1354740011956630000000
0x5b9459E0dEFb35EB98725A448f4b0571C4cb6b55,1336418444420630000000
0xD069aF03110e7b0E6869DFEBb4aa36B0280e88F6,1326493855202300000000
0x21B44E575D14A2774fc59d4577a7823543657b47,1275120811365320000000
0x53281ea1eaBC1055360EF006cf7a299A397fd245,1274022241667460000000
0x59d8496f633993880E99f20d8F7c7fcA9e7A9B5E,1257890950568030000000
0xC6C4f5ca82b529Da5aa3c5A818C211F773ab530f,1200000000000000000000
0x5aD4E65c85C1298301C043d45593e2E09E86A631,1183236377834720000000
