Ethereum Address,Token Balance
0x6BfE56d653d32F136ACf5598c1C28C95771249Da,600000000000000000000000
0x1d10770545c687B71Fc8F7bab840123E427a3B73,410557813396718000000000
0xb961eaf8c83E57440665936EbAb63d60b9cEA060,220000000000000000000000
0x48CfD1bEFEfaDa1D2009036aFfa547e509B01C4A,200000000000000000000000
0xE54CA2A70482eB883480753d3d6a1e1595E0BC82,162089360677838000000000
0x80F18aFCA3Cbf2658874c384d995e1B62481442d,136000000022728000000000
0x6C392247d387D954FD098C43f5336fDC117C7a01,121490000000000000000000
0xF46Dc8AdD582732d59480A4B0605d9e4d2C73cE6,116900000000000000000000
0x3Da905Adff5870A85Bb6dd420683a81f5773E87b,114988350243570000000000
0xFF07aE71fAE21B4be0943887Fb01e6F6080aFE75,112510000000000000000000
0x34482837195f16e2f636c05b2888536457A6b84E,103543543902385000000000
0x48F49F4892f603A4A2fD99aBe734CD4dA5EAAFFf,103393799053467000000000
0xed20db607F7447AC5f6603876b45aF5CF3bB1cAC,99270860900988500000000
0x98B35cce708d76274d82d57AB0671a8f012E2b9b,87379000000000000000000
0x4aa6A4Cd07BFc977D23c12ac776b3dcbFCE1f8fc,85348767322233700000000
0x296e4035c09A2E8a27Db374Ef6adE6b6aC4b2Ccd,80017480396501000000000
0xEe639f6B249795Aba418626667cDd0b6c8Ac6e50,74183400000000000000000
0x083E280e5caA5B2FdFc5D55Dc41183b0B0E5a136,73434000000000000000000
0xb0BFb7C513D6c3F20B9f6431A7e4D4317516a770,69744927504515700000000
0x76462f8D17109D3CfEa5fAA366D17eD9aCCFc0a5,69528300000000000000000
0x8b1c9264aB3dEcddD77704B520F295eFbBE8FdFf,67902958804337600000000
0x75eb259B33DB4814d13E9Ca5a934E963c84Fe966,67200000000000000000000
0x6CED59A8D2dA7bdf3E6c2920F632421A8f3c34D1,65193592804693200000000
0x52507C13d9Ce4987811bE325A2E6e755F39A4b44,64979000000000000000000
0x96392e70FA3f7E699b197f5589661720777b968E,64000000000000000000000
0xd6CfAA245F471aFA57dEc8C7Fa7aAeF0EE9B4363,62084740319633400000000
0xcB242a59Dd235aeFA8c9Bd190AD1f70B14e525c8,60537370277447100000000
0x3b31C4ae1dBd80dba70F45f29d289216810C07C7,58621678973049800000000
0x7E0efCDB5D648f62a14Af91a6Bf94F06A8fdC213,55000000000000000000000
0xfb2577b0b3595FbEe1Ff20814A2938F8Bc6238F6,52740000000000000000000
0x4a5BB1c9347A0d4F7e06a29239162f03647d9232,52472000000000000000000
0x3ff0d61b5F339e349ca7a4be382e80aB7409F783,50331291705870300000000
0x9Ede93E0D5cF38A5797b18ebcB8bb5675Dec2D41,50118665945028100000000
0x5755eA59e719687C0bd3154DdDb5Bde403693176,50000603459396900000000
0x985199F8EE417573B0e9c25B88d556f12B59812F,46311690083754100000000
0x7392588f0669f8973a5d58223d2fbC1d0c5E92C1,44343000002467000000000
