Ethereum Address,Token Balance
0x1d10770545c687B71Fc8F7bab840123E427a3B73,245911805932220000000000
0x02d7b7E01C840D1De837Ce23a38df4D0315cA029,92548874229088700000000
0x8F4b8c0D556389fC2156315F51b59B8005107513,80110388838088300000000
0xa2ac3b5b41D787e278B0F75c90b37245e7A646F8,53513759044544700000000
0x9DE71Ea4E262Afe2d40f9e6AfBf8B4DBc6539D83,52612304679214700000000
0xe67B5f38827a194EB09853911337c1c13D7604e7,46854525104217800000000
0x618341D003208E42026330cfA062C8ed717E8835,38498048887954600000000
0x1440B818F237A31D7aa1A479acc2D82bf1d072C2,33474175282353900000000
0x6E4bb750ab33C7DD5Bc0EA274a5055083C38355e,31662697076706700000000
0x4e4E7870CC48f815B310c268cE096d901bAaB6eD,30417793154131800000000
0x9e5828F0eeBD4376bA54C41760ce392a812Fb3E3,30154669573374700000000
0x568ca7120Df70717F56D0A13e5Ac1F12b193eB53,29912427510382100000000
0xfc4A18d163C592220a246e8015B58a268c1dadCC,29543804922805900000000
0x2B177A78aE46dCf183a8b01365C26157B1353B67,28004927703384300000000
0x119b134E974e20Df79feA161B08970025e4D5325,26831483123949100000000
0xFBE3DDF962410495d5dE7038D3B5B0B9f6D407B3,24223469406297000000000
0xa5028a536c8c08ED9a988Ee13ec57500C842DEca,23369866554866000000000
0x6A0b2457d43424692030FCd98d83469750CDC991,22929022374684800000000
0x74EC0BB8c189d418836985173cB70c4F6224E9bA,21493983547185500000000
0x2ec60a2488d2849448043aad8051c530cd6Aa02A,20889408433205500000000
0x829f958d612eF37d521f97Bc280CccB5d84b852A,20827170560351100000000
0x22217762d95783A39f20316bc065dbCa55D1FF62,18593940948375500000000
0x859C08B7aB8928dF877591dc61b777921C3174a2,18592989818603600000000
0xa5FcB8936F1eF94F76eC5a6877FD857bC80E8a51,18271032760327200000000
0xCFf0e480348DF114B03EB6360857B57E4Dec93fa,18249750338984200000000
0xa986683bb0e8035484A75158e972Fa8dAfF83202,17314354066469900000000
0xCe1172e85d47aF618097d477191605A5d8fc1774,16745663635764700000000
0xdda1ec12D6dB27105522Aa00563e411B73eA9775,14983594447250800000000
0x0e28dD79A90cCF62b46B3d0359362d4C9555eFfE,14599079135968000000000
0xc5eFC0FED2a350fe0119D49eD38584E62f5f01E8,13955281427371600000000
0x88349674D80e8434C52cD202b95957214122F407,12704195220428900000000
0x2a384176823AA4990889263C0F237B73ff671456,12254487002914300000000
0x1D526a038C9b0ac9F0f1c58C827f3c698bb7227f,12135963736230100000000
0x3eABF7B79AbaDF1e4dcb90160bE4A29f6DBa838F,11877168772811600000000
0x4024c1c8Fd2b39Da25C58408c8655283064fD2ab,11246717615874800000000
0xfaC2F11ba2577D5122DC1EC5301d35B16688251E,11064548643116500000000
0xF97f172B4b6807c2F64e7d74B2B2fE989363ACE0,10196300479976800000000
0xfF1bd95b56D9816827C0FA45AF2d3cd7AA1059Ab,9684115379407130000000
0xf6739A814f143EE7dD62a7ECcbE3C6Ac7Dd3CE38,9539215431433990000000
0x8DcB35b244A2A5628B9cA202a3AA9F1466984ff9,9526540378416120000000
0x2659967F736FEc10E18e56C71ee2E2F7953ed48a,8894910523808770000000
0xcE4a9990251944b625C11d2F4a28b38197Aa29e1,8500000695547810000000
0x234252DC1c014e1D68fC6BF6f04C319c530e87e5,8334721167361170000000
0x14c8e6Aac36E0523aFcF0870866B61d15CDed5bC,8038872330509020000000
0x45C1AD90bBB4Acd1a461D67706043adA179dDd06,7507729694676890000000
0x4e8cE87Ff32fb9a47134C234aDca94DF32022FFB,7487522565280250000000
0x0d99D9c32d012620ee07DBf0B7A020A633C4FbCD,7103955830805970000000
0x23b158DB89f8721b047b33b5Af7e5c539F144518,7080950429954030000000
0x71C1a6723964B5dB1A193b3BEc100aAeeA389170,6961907473326050000000
0xA4c92F833936b3313056652eB8ECe4B76f88d600,6750648634848320000000
0xb9BBD7cbe742F3e5BDbC716978570e536f6401B2,6733765952030320000000
0x1844E717c8DF9D8Bd442D77D2aA774A6251eDB2e,6648447134139230000000
0xbF1F3BB214919A580532328a4747aF0298eeDf34,6646537519004440000000
0x5aABac4bC86Fc912401a454131A51185e0246325,6601944160563620000000
0xFfA99EBD929F7C301f5DA6372143783cBBB4b7BE,6400043968042710000000
0x173C2C314BF5f32e4B2063CFfBF2C38011105b48,6196553075821000000000
0x17Ba0C93587BE8dbbCe33EA408760B5Ead8FD059,6151396723926120000000
0x09944D523718471EBa8B27b9802b1c73FA17a3F5,6149166572714060000000
0x2E5b860682D966eE148d15F4A6CD421562edFCaD,5878219797401670000000
0xaC96Aed784EC6c2fd83b159Ab0A5F4Ba1Dc890bb,5438210603063570000000
0x2f8899ae3Fdfb33f1FAfc54eBe2b641213B6Cd3E,5249530909659280000000
0xE56d3b28FdA40E0d0A40D42fAA2239BdEDD900dB,5199231789524270000000
0x7d7a53e0B9473Ec6A4D9F47E03BD19871203841d,5058500776721280000000
