Ethereum Address,Token Balance
0x1d10770545c687B71Fc8F7bab840123E427a3B73,267226899985253000000000
0xFEaFAac54788fBDD7D710464D937da6003e5a1C9,102427868144395000000000
0x51B3be658e95B232972c95c94f1A9a8461CA5100,60822694230786100000000
0x1A628Da6A10f8F8BC2645C3817302c35Ff6d38CE,52269510028602500000000
0xAcc77C950d739050c8f448C18D2e5fa77b57c2B9,47193727482071900000000
0xf65c8b5815200f5A8d3ab588eebA135BcFA00219,42737796003011600000000
0xDF7e8ba2fc3717813ad3Ab961426b39536f407bA,33809146617624100000000
0x119b134E974e20Df79feA161B08970025e4D5325,32722648237827700000000
0x77E8bdE1B149EF3E6dBAde8Fbba76EBD74267566,31921189271885200000000
0x57472aE0e100Ccb4de3FdDe4F7eB4d9C17db8b99,28832912819837800000000
0xbF1F3BB214919A580532328a4747aF0298eeDf34,22699514300900800000000
0x3FD874378D760B5f003E8aa9fD9D4C9B5129055e,20300525307228500000000
0xc56d6CFf03B337E12022B7b531aa43E1cCF08240,19000818102579100000000
0x8041C879082b006CBf0bfF4Df9CE9cA4D58a30Bb,17986632034132900000000
0xa986683bb0e8035484A75158e972Fa8dAfF83202,15106519629131700000000
0x64623240360b6707f979F667E6137Bb100B2CfeF,13686706513486300000000
0x20D73720a242F70Df785F8028B4D9090Ca64ca39,13244269741932600000000
0x8EaD4Cd44099eF9851eD67a181b2267E47cD2c0f,13000924581174900000000
0x98265A1ff213DD8136E0Bf58c2c40cb47D2b8648,12000000000000000000000
0x3FA933778efBA0C2D1Db620377123b570A678BeC,11840566904082200000000
0xE37A7cDbAc0cfC9cA9862CB65a045E4B0b044123,11095431604757300000000
0xF15C2B4d44cB47eac9659F9d90cB99c4AAa2a206,10069109597851500000000
0x12D77174FcD1C0723db00Eb955cCa00C9a9cC86E,10000000000000000000000
0xd5345E8767F587986d464c913E26108D4E1Bd000,9485180956273240000000
0xB131cC337b58E5C8c516Fc241D1Aee908262e8d3,8129776532109380000000
0x197f4c3Cc2C89a0f4C4E2443c453f29ecdf67D4b,7487351383410240000000
0x217361d53221fbbAF78494A1f874711F5c70Eb01,7408435163096130000000
0x9d3e7c85e1594492215770942DF30E7a93fe9E6C,7024448830552170000000
0x3C0ce4F948592F9df799aF3E5A7F9DbE70546068,7006884980214300000000
0x4251890EB713de6CC954b10C134453a6cF470FE8,6353898425166460000000
0x93Cd913aA25225e8D894029527D65aC554c628c5,5896829722283550000000
0xe0fbb9A3d4A3B28c5B2dC24d1BC2C6b34637397B,5866043274215860000000
0x59866Ab8a0516856FFf4E336C1a494A32069d1bd,5524740642627490000000
0x5C383e973899633C9D669b931B180c2780A30696,5397777727647850000000
0xFc0b14930370c3050C694445E6138EFE5fD70bED,5381890844024650000000
0x759299abe77A631FcC7104dB335cd2e3B5401474,5367663447249140000000
0x9FA909349ea0087E90aB136503b5bde879B72F62,5324870123315290000000
0x2C08f1fE0403D18e72A0dA67411e373327803701,5240725970059530000000
0xC9C95ce743c693cf3cC0523C782dc29563cF8FB5,5037626226382810000000
0xdb527a9f967d22B9A2801f21DcDaf819fcD9509E,5000207281872010000000
0x79c90C670AFF8f035420E30EAa32c8CA698d2Dbf,5000000000000000000000
0x894F5BFa28e6D0d1b60F45729c10A7786DaA82c6,4880533949674840000000
0xA212720b4C756a1cD0Cf97C2fda61198C8Ef8477,4737300446861550000000
0x886AFdcd3ca64260ca716d76311B2195e1AFc333,4135827985956370000000
0x39Ec78441269FC5245bC73688E32BDB9BD2abA19,4112072497272190000000
0x0A070a8520d46874fD1d09920D7bC6945BB466D7,3900609627204550000000
0x1844E717c8DF9D8Bd442D77D2aA774A6251eDB2e,3772217109639740000000
0x484D910dE6023A3D21599BE252bBF99681CE34ED,3677308777160430000000
0xF5F22054C4EF05BcBB98587e049Fd682c5A6B1E7,3676497462452590000000
0x065ED631b844A0d83eFB28A29f9F0C2B1E39056f,3649522488186930000000
0xEA194EEfdD4036DFFD8E79Fd69481E3195ae424b,3489002903472800000000
0x58570Aa949E6888f61aF44cDd06686300a6854a5,3477670894535530000000
0xC0E2DD6bB5043F9D8bB8cBC51aE03479fa7811ac,3319114919649620000000
0xE436569811b221E66ce8d8B055bCaE3De4c648D7,3180363046504160000000
0xF3D6aB48CDb4DcbFa4932d9eA69543c22695a15d,3176116018339100000000
0x365a4862A2fb80C147B2eDc8fe26Cb2ABAfe2cd2,3123843090648500000000
0x4510b18062ca49dc44F1B086350E16B731E4F0e2,3000664740458930000000
0xdf5F0C59c3b3471B5Da0Aa8BCdeb7c69C7Ba3370,2989244013476950000000
0xD054FAD24DA4020db9785B93Ac95Cd42De438357,2930257353383430000000
0x970B8aFceDC38165A611B1bb3EEeBf9d19229603,2790871587139550000000
0x07284b01d3b834e5366fa75d4c756FBde8C293Be,2711873239925980000000
0x97f6Fe8E6E3fCD98465B617a9DF484654239A1BA,2580639993639840000000
0x9bc50Ca7CCB9193F3F1c7853446C9588265e79b4,2559144450888980000000
0x3a6726D9e40d4Df5D2dBb9f2e3c61F2601F47E6A,2537449846995780000000
0x43508a5Cf252128A788CBa45E43C95187fC3CA5C,2423260000000000000000
0x05F9778E8C82d6D20c6627DFd1C0DB3e8Cf723ee,2377105532792290000000
0x932a43749f28CD6c0b3812ba04CF7351b25B009D,2107393916112430000000
0x6Bf95Fb82a459908918871280C07fa11dF68108c,2034450644753970000000
0x5Aa498511DcDaf36a85833A6E2384dc93720e5f1,2034306547935200000000
0xce61D9721AA80a29211CD4d972e60B28e31df371,2017938110213130000000
0x7aAC54C97A606c0eAaab58996725d98445ED2065,2017162541578300000000
0x2B177A78aE46dCf183a8b01365C26157B1353B67,1755033061213710000000
0x1F47101647239C00aF2CE908521451b6a87987aA,1738354061483580000000
0x5AEE2AC58F6C2E35A9D69Eed00546FE2c0BE14B3,1577156358911470000000
0xec6852B7081fFC25834b1dA0f04467e964F608A1,1482201227031960000000
0x832F4f4f88ab27a00b7683C9b5Fc191e797187F3,1393517029828290000000
0x6AeCFB62Bdc201F6Ad75D4E37477709d51215a07,1391211054243310000000
